2018-10-23 07:32,大连地铁微博会员特权置顶早安大家要的首末车时间在此奉上二哈二哈如有运营时间变动我们会及时更新这个时间表的也欢迎大家关注大连地铁微信公众号点击菜单栏里的站点查询功能也可以看最新的首末车时间酷酷随着樱花节的到来我们还增加了樱花主题车厢时刻表
2019-04-16 10:29,#昨日客流#,大连地铁昨日客流万人次
2019-04-15 09:27,#哔哩哔哩动画#,在外地的人想家了失望失望
2019-04-16 08:37,#今日早高峰#,大连地铁今日早高峰目前各条线路的客流比较平稳号线华乘客出行方向主要集中在大连北站去往七贤岭站区间以及学苑广场去往兴工街站区间号线早间客流都是以去往海之韵方向为主虽然虹锦路虹港路上车的乘客会多一些但并不拥挤二号线从红旗西路站开始车厢内的乘客会有明显的增加到达辽师大车站展开全文
2019-04-16 07:39,#今日天气#,大连地铁今日天气早安太阳太阳今天是年月日星期二农历三月十二今天晴间多云有雾偏南风到级阵风级气温大连气象大连气象
2019-04-15 18:08,#大连地铁5号线#,大连地铁大连地铁号线标项目部举行试桩开钻仪式年月日点分五号线控制中心工程试桩开钻仪式顺利启动本工程为号线控制中心建设地点位于大连市梭鱼湾商务区地下层地上塔楼层裙房层总建筑面积为总高度为
2019-04-15 18:04,#春天摄影大赛#,樱花开啦鼓掌鼓掌鼓掌鼓掌
2019-04-15 14:36,#昨日客流#,大连地铁昨日客流客流万人次客流万人次
2019-04-15 08:51,#哔哩哔哩动画#,大连地铁神叨叨美少女剪辑的大连深圳上海地铁神同步很有意思老铁们来瞅瞅呀深圳地铁深圳地铁上海地铁上海地铁哔哩哔哩动画高难度同步地铁记录大连深圳上海有什么不同高难度同步地铁记录大连深圳上海有什么不同
2019-04-15 08:33,#今日早高峰#,大连地铁今日早高峰目前各条线路的客流比较平稳号线华南广场至河口的方向乘客会相对集中一些在这一区间松江路千山路上车乘客较多号线中山广场至西安路区间乘客并不密集但是反方向从辛寨子车站开始一直到人民广场站的方向乘车压力是比较大的并且在西安路站还会增加一部分客流压力截止展开全文
2019-04-15 07:09,#今日天气#,大连地铁今日天气今天我市天气晴间多云气温稳步回升市区的最高气温将升到附近最低气温在上下白天西南风风力较强空气仍然非常干燥市民朋友注意多补水同时森林火险气象等级还是比较高的大家还是要适当注意增强野外防火意识预计周二至周五我市的天气仍旧在晴或多云之间转换气温展开全文
2019-04-14 13:31,大连地铁天气这么好踏春呀偷乐偷乐
2019-04-14 08:29,#大连地铁正能量#,大连地铁大连地铁正能量昨天在大连站一名男乘客在车上心脏不舒服工作人员帮助乘客服下速效救心丸待乘客有所好转扶乘客到站台休息并给乘客提供热水乘客休息了一会感觉身体没问题才离开在这里给大家小科普一下速效救心丸的主要作用是行气活血祛瘀止痛增加冠脉血流量缓解心绞痛用于气展开全文
2019-04-14 07:49,#今日天气#,大连地铁今日天气今天阳光回归气温变化不大市区最高气温最低气温不过在冷空气的影响下风力将明显增强陆地北风阵风可达级下午转西南风级市民朋友在户外活动时除了注意防风防火也要警惕高空坠物大连晚报
2019-04-13 18:42,#大连地铁正能量#,大连地铁大连地铁正能量今天下午点分人民广场站接待了一位从医院出来的乘客该乘客身体不适又无家属陪伴工作人员了解该乘客要坐地铁去北站后在征得乘客的同意车站安排工作人员送乘客上车同时安排名志愿者全程陪同乘客将其送达至大连北站沿途已通知西安路站及大连北站做好接应点展开全文
2019-04-13 11:23,#打游戏的注意啦#,感谢热心乘客的提醒打游戏的注意啦
2019-04-13 11:22,春天的列车拍的赞赞赞赞赞
2019-04-13 06:16,#今日天气#,大连地铁今日天气月日星期六农历三月初九阴有小雨有雾相对湿度南风级今天小雨将如期而至陆地偏南风级对于想趁着周末尽兴游玩的朋友来说斜风细雨的天气难免让人有些遗憾预计全天会比较湿凉市区气温周日降雨停止阳光复出美中不足的是展开全文
2019-04-12 21:00,#大连地铁正能量#,大连地铁正能量水壶可爱工作人员给力
2019-04-12 12:37,#昨日客流#,大连地铁昨日客流万人次
2019-04-12 09:08,#大连地铁正能量#,大连地铁大连地铁正能量昨天下午友好广场站工作人员在付费区内拾到一张社保卡随即上交站长根据社保卡信息站长和驻站民警多方查找最终联系到失主一个小时后乘客来到车站确认是其遗失的社保卡在此提醒广大乘客大连地铁官方微信有失物招领功能东西丢了可以使用此功能查找失物登记信息展开全文
2019-04-12 09:00,#今日早高峰#,大连地铁今日早高峰目前各条线路的客流比较平稳号线整体客流出行情况还是比较好的现在看到大连北站松江路站春柳站至兴工街站的乘客都是比较密集的号线客流集中在虹锦路至青泥洼桥站的区间截止点号线人号线人号线人
2019-04-12 07:38,#今日天气#,大连地铁今日天气早安太阳太阳今天是年月日星期五农历三月初八今天晴间多云西南风到级上午增强到到级阵风到级气温风力较大易发生森林火灾请注意不要野外用火大连气象大连气象
2019-04-11 16:33,#大连地铁正能量#,大连地铁大连地铁正能量今天中午泉水站内有一名女乘客的孩子突然高烧并昏迷工作人员把男孩抱到员工寝室内休息同时车站员工到站外找来一辆出租车送乘客去往儿童医院车站工作人员反应及时大赞赞赞希望小朋友没啥事儿
2019-04-11 16:12,#昨日客流#,大连地铁昨日客流万人次
2019-04-11 13:22,说得对地铁禁止吃东西不光有食物残渣还因为地铁属于密闭空间吃东西会有味道
2019-04-11 08:32,#大连地铁正能量#,大连地铁大连地铁正能量今天早上联合路站工作人员赵洪晨发现一名小男孩在站台自己走来走去并喃喃自语爸爸去哪了上前询问得知他与家长走散正好这时红旗西路打来电话问是否有一名小男孩自行下车与爸爸走散不一会儿家长到达联合路将孩子安全接走小朋友看到爸爸非常开心车站早晚高峰客流量大展开全文
2019-04-11 08:28,#今日早高峰#,大连地铁今日早高峰目前各条线路的客流比较平稳号线从大连北站到春柳站都是以进站为主从西安路去往河站口站的方向车厢内压力就会相对会小一些号线交通大学站至一二九街站这一区间上车乘客较少但是其他车站的压力就比较大了红旗西路站以及马栏广场站等车的乘客都是比较密集的截止点号线展开全文
2019-04-11 07:37,#今日天气#,大连地铁今日天气早太阳太阳今天是年月日星期四农历三月初七今天晴有时多云西南风级气温天气干燥请注意补充水分大连气象大连气象
2019-04-10 14:58,#扛流浪猫骑车环游世界#,大连地铁一人一猫一车喵喵喵喵英国男子扛流浪猫骑车环游世界月日男子肩背猫咪骑车环游世界的视频走红年月岁的迪恩辞去焊工工作从苏格兰出发骑车环游世界途径波斯尼亚时他遇到了一只流浪猫于是决定带它一同继续旅程他们一起骑行一起吃饭一起睡帐篷成为了亲密无间的旅伴展开全文
2019-04-10 10:13,#昨日客流#,大连地铁昨日客流万人次
2019-04-10 08:13,#今日早高峰#,大连地铁今日早高峰目前各条线路的客流有明显的增加号线客流出行方向主要集中在大连北站去往七贤岭站区间以及学苑广场站去往华南广场站区间号线早间客流以去往市中心为主红旗西路至中山广场站这一区间的客流较大联合路站人民广场站进站的乘客相比其他车站是比较轻松的截止点号线人展开全文
2019-04-10 07:14,#今日天气#,大连地铁今日天气早太阳太阳今天是年月日星期三农历三月初六今天晴偏北风到级阵风级气温天气回暖但偏北风风力较大早晚外出还应适当添衣大连气象大连气象
2019-04-09 16:30,#带你见见光#,如果身体不适真得治
2019-04-09 16:05,#昨日客流#,大连地铁昨日客流万人次
2019-04-09 15:58,#大连地铁正能量#,大连地铁大连地铁正能量今日下午一位男乘客到姚家站送来了一面锦旗并再一次向车站工作人表示了感谢事情还要追溯到两周前月日晚点姚家站站台员清车时发现一名岁小男孩在车厢内熟睡小男孩要去河口站由于方向坐反加上在车上睡着了才来到了姚家车站由于天色已晚考虑到小男孩的安全展开全文
2019-04-09 09:30,大连地铁来自网友的温馨提示
2019-04-09 08:17,#今日早高峰#,大连地铁今日早高峰目前各条线路的客流有明显的增加号线客流从大连北站开始上车的乘客会逐渐增多一直持续到富国街车站另外换乘站河口站等车的乘客也不算少号线客流最为密集的几个车站依旧集中在虹港路至马栏广场站这一区间但是不会出现站台滞留乘客的情况截止点号线人号线展开全文
2019-04-09 06:40,#今日天气#,大连地铁今日天气阴部分地区有小雨转多云相对湿度东北风级阵风级明天我市天空还将更加阴沉上午开始局部地区有雨点洒落雨量不大以小雨为主气温有所下滑全市的最高气温在上下雨天天气潮湿阴凉人们外出别忘带上雨具并且要注意添衣保暖以防着凉感冒展开全文
2019-04-08 12:41,#大连地铁正能量#,大连地铁大连地铁正能量昨天晚上在兴工街站工作人员陈子豪在站厅发现一名乘客独自一人坐在地上工作人员将乘客扶起值班站长拿来椅子给乘客休息在乘客身上找到家属电话后立马联系了乘客的家人家属到达后很感谢经了解该名乘客多年前得过脑出血留下后遗症走路不方便乘客休息完后工作人员陈展开全文
2019-04-08 11:34,对付不文明行为的一大高招作揖作揖
2019-04-08 11:32,#昨日客流#,大连地铁昨日客流万人次客流万人次客流万人次客流万人次
2019-04-08 09:13,#大连地铁正能量#,大连地铁大连地铁正能量昨天中午在大连站一名多岁的男子突发疾病在大厅晕倒浑身抽搐员工邹海昀立即掐人中进行救治几分钟后恢复过来员工此时已经拨打了并联系家属分钟后被急救车带去医院救治在此提醒广大乘客如身体不适出门请让家属陪同随身最好带上药物方便他人施救
2019-04-08 08:46,#今日早高峰#,大连地铁今日早高峰清明小长假已经结束三天时间里地铁号线三天共运行列车次完成客运量万人次大连北站目前进站客流有明显增多还是有很多乘客正在返连的途中因此携带大件行李的乘客较多号线除了大连北站至西安路站这一区间乘客较多外学苑广场站至华南广场这一区间的乘展开全文
2019-04-08 06:48,#今日天气#,大连地铁今日天气新的一周冷空气工作的重点区域在我国西北华北以及南方除了制造大范围降水还将带来明显降温而对于大连来说冷空气下手比较温柔今天还未受影响天气晴转多云市区气温在预计周二天气转阴有小雨陆地东北风风力增强到到级阵风级气温影响不大市区最高气温展开全文
2019-04-07 15:58,#大连地铁正能量#,大连地铁大连地铁正能量今天上午友好广场站值班站长巡视时发现口周边楼房外墙一位男士右脚踩到钉子值班站长连忙拿来碘酒和创可贴并告知一定要小心在此提醒大家遇到有施工围挡的地方尤其是石块碎渣较多的情况请务必注意脚下猜到钉子一定及时处理避免感染
2019-04-07 15:52,大连地铁今天下午地铁号线友好广场站开始出现返程大客流进站乘客明显增多为确保乘客乘车安全车站利用分流杆和隔离带控制乘客进站速度并通过加强广播疏导等方式为乘客提供平安有序温馨出行提供服务保障请进站的乘客不要拥挤注意安全作揖作揖大连地铁的微博视频大连地铁的微博视频
2019-04-07 07:49,大连地铁天气实在是太好了阳光很给力太阳太阳这个天气不出去浪有点可惜喽馋嘴馋嘴坐樱花专列去旅顺就是一个不错的选择旅顺口发布旅顺口发布
2019-04-07 06:04,#今日天气#,大连地铁今日天气晴有时多云相对湿度东北风转东南风级今天滨城的天气晴有时多云晴暖微风的天气非常适合到户外郊游明天进入新一轮工作日晴好的天气还将持续不过周二我市会经历一次多云到阴天的转换到了晚间西风槽系统可能还会给全市带来一次降雨过程半岛晨报
2019-04-06 20:25,郭同学打卡小时书店大连山东路大连山东路
2019-04-06 20:03,期待
2019-04-06 17:54,樱花盛开春意自来大连地铁大连地铁期待第十一届旅顺樱花节大连东北财经大学大连东北财经大学
2019-04-06 19:54,大连地铁今天最后一班车樱花专列已经从河口出发小伙伴们坐上没人超多
2019-04-06 16:22,#随手拍不文明#,大连地铁随手拍不文明大连地铁的座位一排可以坐六个人请不要拉着熟人去挤硬生生坐七个人真的超级挤汗汗如果真心为了朋友能有座建议本人站起来不要挤别人在此也希望被挤的朋友敢于发声因为座与座之间是有痕迹的
2019-04-06 09:00,#清明节#,大连地铁清明节大连地铁运营有限公司客运三中心团委组织优秀青年团员到大连英雄纪念公园举办缅怀先烈爱国魂幸福不忘英雄史先烈祭扫活动青年团员们沿着漫长的台阶拾级而上在公园顶端共同参观了位古今英雄的铜像石雕和平方米的英雄浮雕墙共同探讨和学习英雄事迹同时在象征自由和平的纪念展开全文
2019-04-06 07:48,#今日天气#,大连地铁今日天气风力较大受天空状况和偏东风影响今天我市天空云量较多偏东风到级阵风级夜间减弱到到级气温也将进一步下滑预计市区白天最高气温将回落到左右最低气温上下目前天儿还未完全转暖气温变化又大小伙伴们儿要慎减衣近期天气又多风干燥大家户外进行踏青时要展开全文
2019-04-05 18:22,有小伙伴试卡啦
2019-04-05 14:15,#清明节#,大连地铁清明节今日二号线红旗西路站受清明节影响截止整累计进站人累计出站人出站客流较平日同时段约增加倍以上为了保证乘客安全客运二中心机关维乘人员党员团员到车站维乘确保乘客有序安全乘车动力照明等相关专业派专人到车站对设施设备进行维护保障清明展开全文
2019-04-05 09:48,小编今天也要感受一下樱花专列耶耶
2019-04-05 09:48,#清明节#,大连地铁清明节今日是中华民族传统的春祭节日龙山公墓位于红旗西路地铁站口周边众多乘客将选择此站出行客运二中心第二党支部和第三党支部的党员们一早便来到红旗西路维持秩序组织前来祭祀的乘客有序出站楼梯扶梯也加强疏导以免发生危险还得强调一下呀为了防止火灾的发生千万不要使用明展开全文
2019-04-05 08:36,#今日早高峰#,大连地铁今日早高峰今天是清明小长假的第一天我们重点关注一下换乘站西安路站此时车站站台候车乘客还不是很多换乘号线去往距离墓园较近的红旗西路站和湾家站的乘客相对较多提醒大家上下楼梯时要注意脚下安全有序换乘目前号线的总体出行客流比较平稳红旗西路的出站客流较平日相比有明显的展开全文
2019-04-05 07:29,#今日天气#,大连地铁今日天气今天我们迎来了二十四节气中既是节气又是节日的清明大连天空云量逐步增多半夜转阴部分地区有小雨受过境冷空气的残余势力影响白天偏北风到级阵风级夜间才被同等级的东南风取代前期的回暖势头被阻断转而走向反面市区全天气温回落至间由于今年以来展开全文
2019-04-04 19:38,#失物招领#,大连地铁失物招领感谢别动我的多肉别动我的多肉如果有谁丢的这个包请到北站拿
2019-04-04 19:30,#大连地铁正能量#,大连地铁大连地铁正能量今天晚高峰一位女士不慎将一个黄色长方形钱包遗落在进站闸机地上为避免其他乘客误拾工作人员白晓宇将钱包拾起工作人员通过钱包里的证件联系上了失主失主当时还在富国街站内候车接到电话后才知道自己遗失了钱包从丢到找回总共用时分钟这个效率杠杠的赞赞
2019-04-04 19:24,#大连地铁正能量#,大连地铁大连地铁正能量今天上午点左右巡视员石姣在绿色通道处发现一名大娘眼神情恍惚工作人员立即上前询问如果要走绿色通道请出示证件大娘把手纸递给站务人员此时工作人员立即上报站长工作人员继续询问家庭住址是否有人陪伴记得子女电话大娘两眼无神所答非所问只说家在医院附近展开全文
2019-04-04 16:04,#大连地铁正能量#,大连地铁大连地铁正能量不知大家是否还记得那个出现在姚家站一身傲骨的小男孩因为作业没写完不敢回家也不告诉车站工作人员家人的电话号码昨晚这个小男孩又出现在河口站当时小男孩仍旧是一脸茫然还说了上一次一样的理由因为在车上睡着了错过了回家的地铁车同时男孩儿表示不记得自己家长的联展开全文
2019-04-04 14:11,#昨日客流#,大连地铁昨日客流万人次
2019-04-04 10:13,#大连地铁正能量#,大连地铁正能量看到乘客笑得那么开心就放心了人民广场为人民赞赞
2019-04-04 08:17,#今日早高峰#,大连地铁今日早高峰现在各条线路的总体出行客流还是比较多的号线乘客的出行方向主要集中在大连北站去往河口站区间同时在这一时间点位当中大连北站出站乘客居多预计今天在北站换乘高铁的乘客会持续增加也提醒携带大件行李的乘客请您选择直梯通行如需帮助可以及时与工作人员取得联系号展开全文
2019-04-04 07:29,#今日天气#,大连地铁今日天气早安太阳太阳今天是年月日星期四农历二月廿九今天晴间多云西南风级阵风到级夜间转偏北风到级阵风级气温风力较大草木易燃请广大市民文明祭祀不要携带火种进入林区大连气象大连气象
2019-03-29 22:46,#新版倚天屠龙记#,平心而论无忌谢逊相认小昭无忌诀别这几处都演的很好回去翻看了版确实新版在各方面都要比版好这得承认不信自己去看看相信我看一会儿就得悄悄关闭回忆滤镜很多人在网上带节奏一个剧大家都说好自己没看过也要说好一个剧大家都喷烂你坚称自己不屑于看但也要喷好吧摊手摊手
2019-04-03 13:39,#昨日客流#,大连地铁昨日客流万人次
2019-04-03 13:25,#大连地铁正能量#,大连地铁正能量帅不帅不是很重要服务到位才重要嘻嘻嘻嘻
2019-04-03 08:33,#今日早高峰#,大连地铁今日早高峰现在各条线路的总体出行客流还是比较多的号线学苑广场站会展中心站以及松江路车站的乘客相对较多客流出行方向主要集中在七贤岭去往兴工街区间号线客流压力主要集中在湾家站至中山广场站区间虹锦路虹港路上车的乘客相对较多那此时西安路站的进出站客流也在逐渐增多换乘展开全文
2019-04-03 06:54,#今日天气#,大连地铁今日天气天气持续干燥防火形势严峻今明两天我市依然是个大晴天儿气温会显著回升市区最高气温将来到不过风力强劲陆地平均风力均可达级阵风级提醒大家大风天儿外出注意安全防止高空坠物周五清明假期第一天天儿也不错天气晴好市区气温在之间双休展开全文
2019-04-03 06:06,大连地铁红旗西路口已于今早开放了望周知作揖作揖作揖作揖
2019-04-02 19:36,大连地铁请不要躺在座位上休息而且还在晚上下班时间不仅影响其他的乘客也造成不好的影响还望多为别人考虑作揖作揖
2019-04-02 19:31,#大连地铁正能量#,大连地铁大连地铁正能量打败城市孤独症今天是第十二个世界提升孤独症意识日为提高孤独症的社会认知度感召全社会接纳关爱孤独症障碍者今天的时分至时分在大连地铁号线的个车站联动开展让爱来让碍走星愿号出发啦主题活动希望通此次活动营造更加和谐更加温暖的社展开全文
2019-04-02 17:35,#昨日客流#,大连地铁昨日客流万人次
2019-04-02 16:05,大连地铁为方便广大市民清明小长假出行地铁号线将在月日至日三天增加车次缩短行车间隔切实满足市民乘车需求具体调整如下大连站至金石滩站行车间隔调整为分钟金石滩站至大连站行车间隔调整为分钟九里站至开发区站区间全天分钟间隔同时展开全文
